comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,drug1,zero,norm_squared,0,15,0.8998028123364356,0.5873015873015873
cell_bootstrap,drug1,zero,norm_squared,0,16,0.9581751857891253,0.6129032258064516
cell_bootstrap,drug1,zero,norm_squared,0,17,0.9807650155223017,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,18,0.9691532737373953,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,19,0.9641754827704895,0.6949152542372882
cell_bootstrap,drug1,zero,norm_squared,0,20,0.8662418084272887,0.28205128205128205
cell_bootstrap,drug1,zero,norm_squared,0,21,0.9680782067728956,0.7241379310344828
cell_bootstrap,drug1,zero,norm_squared,0,22,0.9753186859949936,0.8181818181818182
cell_bootstrap,drug1,zero,norm_squared,0,23,0.9842930583089958,0.7543859649122807
cell_bootstrap,drug1,zero,norm_squared,0,24,0.9634158726146532,0.5625
cell_bootstrap,drug1,zero,norm_squared,0,25,0.873276640177982,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,26,0.9724372679821064,0.5625
cell_bootstrap,drug1,zero,norm_squared,0,27,0.89077838273523,0.3888888888888889
cell_bootstrap,drug1,zero,norm_squared,0,28,0.8075184702265672,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,29,0.9781224036145794,0.7241379310344828
cell_bootstrap,drug1,zero,norm_squared,0,30,0.9202718477370685,0.5625
cell_bootstrap,drug1,zero,norm_squared,0,31,0.885361612915006,0.35135135135135137
cell_bootstrap,drug1,zero,norm_squared,0,32,0.8934103090622098,0.6949152542372882
cell_bootstrap,drug1,zero,norm_squared,0,33,0.9533741461459899,0.7857142857142857
cell_bootstrap,drug1,zero,norm_squared,0,34,0.9576018162537374,0.5151515151515151
cell_bootstrap,drug1,zero,norm_squared,0,35,0.9174938936502157,0.5151515151515151
cell_bootstrap,drug1,zero,norm_squared,0,36,0.9639816827772368,0.5625
cell_bootstrap,drug1,zero,norm_squared,0,37,0.8628976802691154,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,38,0.9608819423199764,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,39,0.968512485699413,0.8181818181818182
cell_bootstrap,drug1,zero,norm_squared,0,40,0.8365375616316804,0.20481927710843373
cell_bootstrap,drug1,zero,norm_squared,0,41,0.8846304781189959,0.28205128205128205
cell_bootstrap,drug1,zero,norm_squared,0,42,0.9017679216210502,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,43,0.9821879027480388,0.6129032258064516
cell_bootstrap,drug1,zero,norm_squared,0,44,0.9780896126265757,0.8181818181818182
cell_bootstrap,drug1,zero,norm_squared,0,45,0.9684591829045391,0.7241379310344828
cell_bootstrap,drug1,zero,norm_squared,0,46,0.9517162259543608,0.6949152542372882
